直播间ID,标题,直播间url,创建时间,开始时间,结束时间,直播类型,直播状态,播放url,封面图片,观看次数,uv,平均停留时间(秒),详情图片,消息数量
fa8c221a594a4b3f81b1b8781de5942e,峰云镜会｜3D腹腔镜IIIb型肝门胆管癌根治术,https://api.duanshu.com/fairy/manage/v1/lives/fa8c221a594a4b3f81b1b8781de5942e,2025/05/22:08:56:30,2025/05/22:09:00:00,2025/05/22:15:40:37,,2,https://qvod2.vzan.com/clip/11749549/1760180735/f0b849f9199a444ab5f031d9e6d3e117.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747875813660_226431.jpg?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747875813660_226431.jpg?imageMogr2/auto-orient/cut/1920x1080x0x0,28787,2728,4091,https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747875828513_146317.jpg?imageMogr2/auto-orient/thumbnail/!750x,23
83496e449263417abd4bd16886e66bc6,胸有甲兵 术立巅峰｜南方医科大学南方医院胸外科手术直播,https://api.duanshu.com/fairy/manage/v1/lives/83496e449263417abd4bd16886e66bc6,2025/05/21:16:36:24,2025/05/22:08:50:00,2025/05/22:15:34:42,,2,https://qvod2.vzan.com/clip/11749549/2143030848/6af9156ad947459b86e7b82d3deb6412.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821360284_932237.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821360284_932237.png?imageMogr2/auto-orient/cut/1920x1080x0x0,17729,483,1542,https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876801197_111318.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876801409_449373.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876801612_739722.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876801837_943195.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876802039_411192.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876789030_218141.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876789518_325669.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876789755_355874.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876790049_285391.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/09/85019e5de357eg9gj4/common/content/1747876790290_829528.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/12/85019e5de357eg9gj4/common/content/1747889584899_655123.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/12/85019e5de357eg9gj4/common/content/1747889585359_387256.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/12/85019e5de357eg9gj4/common/content/1747889590198_893822.gif;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/12/85019e5de357eg9gj4/common/content/1747889595696_218566.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/12/85019e5de357eg9gj4/common/content/1747889595898_292832.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/18/85019e5de357eg9gj4/common/content/1747823193850_166614.png?imageMogr2/auto-orient/thumbnail/!750x,5
5e4c99725f3944e380f89d2289d46bb4,5月22日 “独‘补’天下－中国行”南昌站,https://api.duanshu.com/fairy/manage/v1/lives/5e4c99725f3944e380f89d2289d46bb4,2025/05/20:18:44:34,2025/05/22:09:00:00,2025/05/22:14:46:44,,2,https://qvod2.vzan.com/clip/11749549/1565044439/4be9a6bc297649daa513c95f966b99cf.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/20/18/85019e5de357eg9gj4/common/content/1747737992990_221459.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/20/18/85019e5de357eg9gj4/common/content/1747737992990_221459.png?imageMogr2/auto-orient/cut/1920x1080x0x0,708,119,895,https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896381_154349?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896381_267368?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896382_350027?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896382_463415?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896383_334611?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896383_927063?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896383_449294?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896383_133331?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896383_780473?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896384_406242?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/14/85019e5de357eg9gj4/common/content/1747896384_558086?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/22/12/85019e5de357eg9gj4/common/content/1747889945506_783299.png?imageMogr2/auto-orient/thumbnail/!750x,0
0e061134efe447c8af31f7dc352ec5fb,结直肠癌日间诊疗学习班（第5期）暨国家癌症中心结直肠NOSES学习班沈阳站（第60期）,https://api.duanshu.com/fairy/manage/v1/lives/0e061134efe447c8af31f7dc352ec5fb,2025/05/19:13:04:54,2025/05/22:08:20:00,2025/05/22:18:23:44,,2,https://qvod2.vzan.com/clip/11749549/1133905872/7440fbbe898a44dbb43e2987d474cf43.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/19/20/85019e5de357eg9gj4/common/content/1747657538910_246619.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/19/20/85019e5de357eg9gj4/common/content/1747657538910_246619.png?imageMogr2/auto-orient/cut/1920x1080x0x0,21289,1976,2247,https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830417762_761395.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830418319_552651.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830418617_398144.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830418877_332168.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830419122_922747.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830419348_645995.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830419584_324554.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830419813_232495.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830420056_757792.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830440319_642119.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830440565_835527.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830440789_742622.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830441035_842847.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830441345_222221.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830441576_472443.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830441796_188469.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830442080_232515.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/20/85019e5de357eg9gj4/common/content/1747830442334_972551.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/20/21/85019e5de357eg9gj4/common/content/1747749568630_672145.png?imageMogr2/auto-orient/thumbnail/!750x,2
e471d1afe4774ab499baa454b7374b73,周进学教授 河南省肿瘤医院,https://api.duanshu.com/fairy/manage/v1/lives/e471d1afe4774ab499baa454b7374b73,2025/05/19:09:18:21,2025/05/19:09:00:00,2025/05/19:19:49:01,,2,https://qvod2.vzan.com/clip/11749549/222512021/29b3ded7bd2544098a1ec07093054988.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/11/17/85019e5de357eg9gj4/common/content/1746954941304_262117.png?imageMogr2/auto-orient/cut/3776x2124x2x5;https://duanshu-1253562005.image.myqcloud.com/2025/05/11/17/85019e5de357eg9gj4/common/content/1746954941304_262117.png?imageMogr2/auto-orient/cut/3776x2124x2x5,793,139,3518,,0
194d588e4ec948edb87d37e35334a3d0,镜影非凡｜微创外科手术直播,https://api.duanshu.com/fairy/manage/v1/lives/194d588e4ec948edb87d37e35334a3d0,2025/05/16:07:21:38,2025/05/22:08:50:00,2025/05/22:09:40:07,,2,https://p2bj.vzan.com/11749549/297139420046586397/live.m3u8?zbid=11749549&tpid=1953192530,https://duanshu-1253562005.image.myqcloud.com/2025/05/19/20/85019e5de357eg9gj4/common/content/1747658083222_419832.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/19/20/85019e5de357eg9gj4/common/content/1747658083222_419832.png?imageMogr2/auto-orient/cut/1920x1080x0x0,2713,445,259,https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821069223_682455.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821069715_276923.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821069974_435475.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821070198_358397.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821070412_123377.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/21/17/85019e5de357eg9gj4/common/content/1747821070670_372268.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/19/20/85019e5de357eg9gj4/common/content/1747658120342_721556.png?imageMogr2/auto-orient/thumbnail/!750x,2
ebadfdab99194676aa89b5d8869731f1,王廷教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,https://api.duanshu.com/fairy/manage/v1/lives/ebadfdab99194676aa89b5d8869731f1,2025/05/14:21:02:02,2025/05/15:12:10:00,2025/05/15:13:33:34,,2,https://qvod2.vzan.com/clip/11749549/1772215758/c65d256c53ed4d0db8b5806da82875ad.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0,8735,483,1752,https://duanshu-1253562005.image.myqcloud.com/2025/05/15/09/85019e5de357eg9gj4/common/content/1747274096058_147617.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/09/85019e5de357eg9gj4/common/content/1747274096496_527921.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/09/85019e5de357eg9gj4/common/content/1747274096753_282876.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/09/85019e5de357eg9gj4/common/content/1747274096987_462273.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x,2
a736e87483d143ac95f4da57c16fc7e8,张聚良教授 乳腺癌根治术+乳房胸肌前假体重建,https://api.duanshu.com/fairy/manage/v1/lives/a736e87483d143ac95f4da57c16fc7e8,2025/05/14:18:29:06,2025/05/15:12:30:00,2025/05/15:15:18:21,,2,https://qvod2.vzan.com/clip/11749549/200967957/ce9e44f4533a46fa945406d44e5b0200.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0,9616,490,2414,https://duanshu-1253562005.image.myqcloud.com/2025/05/15/07/85019e5de357eg9gj4/common/content/1747267006009_524212.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x,6
97feaf20f93a4d96aa968ed15b4b48f9,樊菁教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,https://api.duanshu.com/fairy/manage/v1/lives/97feaf20f93a4d96aa968ed15b4b48f9,2025/05/14:18:27:55,2025/05/15:08:00:00,2025/05/15:12:00:29,,2,0,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0,12279,612,1228,https://duanshu-1253562005.image.myqcloud.com/2025/05/15/00/85019e5de357eg9gj4/common/content/1747240621338_927165.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/00/85019e5de357eg9gj4/common/content/1747240621914_391492.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x,19
62e86b8f4b5f4d3298c3c9ce7a1b7624,5月15日 “独‘补’天下－中国行”南京站,https://api.duanshu.com/fairy/manage/v1/lives/62e86b8f4b5f4d3298c3c9ce7a1b7624,2025/05/14:15:00:30,2025/05/15:09:00:00,2025/05/15:15:46:11,,2,https://qvod2.vzan.com/clip/11749549/1680204453/f6a92da523c0460a9a1bcea5f65f524f.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/06/21/85019e5de357eg9gj4/common/content/1746536440637_492262.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/06/21/85019e5de357eg9gj4/common/content/1746536440637_492262.png?imageMogr2/auto-orient/cut/1920x1080x0x0,1044,240,4003,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206120_235949?imageMogr2/auto-orient,0
