"FileName","HasStroke","HasDefs","HasClipPath","HasMask","HasScript"
"icon-add.svg","False","True","False","False","False"
"icon-arrow-down.svg","False","True","False","False","False"
"icon-arrow-left.svg","False","True","False","False","False"
"icon-arrow-right.svg","False","True","False","False","False"
"icon-arrow-up.svg","False","True","False","False","False"
"icon-brand.svg","False","True","False","False","False"
"icon-broadcast.svg","False","True","False","False","False"
"icon-close.svg","False","True","False","False","False"
"icon-delete.svg","False","True","False","False","False"
"icon-download.svg","False","True","False","False","False"
"icon-edit.svg","False","True","False","False","False"
"icon-expert.svg","False","True","False","False","False"
"icon-eye.svg","False","True","False","False","False"
"icon-eye-off.svg","False","True","False","False","False"
"icon-female.svg","True","True","False","False","False"
"icon-heart.svg","False","True","False","False","False"
"icon-history.svg","False","True","False","False","False"
"icon-home.svg","False","True","False","False","False"
"icon-like-filled.svg","False","True","False","False","False"
"icon-like-outline.svg","False","True","False","False","False"
"icon-live.svg","False","True","False","False","False"
"icon-male.svg","False","True","False","False","False"
"icon-message.svg","False","True","False","False","False"
"icon-more.svg","False","True","False","False","False"
"icon-my.svg","False","True","False","False","False"
"icon-next-room.svg","False","True","False","False","False"
"icon-pause.svg","False","True","False","False","False"
"icon-play.svg","False","True","False","False","False"
"icon-privacy.svg","False","True","False","False","False"
"icon-search.svg","False","True","False","False","False"
"icon-setting.svg","False","True","False","False","False"
"icon-share.svg","False","True","False","False","False"
"icon-star-filled.svg","False","True","False","False","False"
"icon-star-outline.svg","False","True","False","False","False"
"icon-sub-outline.svg","False","True","False","False","False"
"icon-time.svg","False","True","False","False","False"
"icon-video.svg","False","True","False","False","False"
"icon-category.svg","False","False","False","False","False"
"icon-tag.svg","False","False","False","False","False"
"icon-shield.svg","False","False","False","False","False"
"icon-bell.svg","False","False","False","False","False"
"icon-trash.svg","False","False","False","False","False"
