标题,创建时间,开始时间,结束时间,pv,uv,平均停留时间(秒),消息数量,播放URL,封面图片,详情图片
王廷教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,2025/05/14:21:02:02,2025/05/15:10:00:00,2025/05/16:21:01:59,178,54,9,0,https://p2hs.vzan.com/11749549/017740697652262277/live.m3u8?zbid=11749549&tpid=1772215758,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x
张聚良教授 乳腺癌根治术+乳房胸肌前假体重建,2025/05/14:18:29:06,2025/05/15:10:00:00,2025/05/16:18:28:58,200,58,22,0,https://p2hs.vzan.com/11749549/826695401891339485/live.m3u8?zbid=11749549&tpid=200967957,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/15/07/85019e5de357eg9gj4/common/content/1747267006009_524212.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x
樊菁教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,2025/05/14:18:27:55,2025/05/15:08:00:00,2025/05/16:18:27:49,7703,309,373,6,https://p2hs.vzan.com/11749549/034934204145226064/live.m3u8?zbid=11749549&tpid=1227105833,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/15/00/85019e5de357eg9gj4/common/content/1747240621338_927165.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/00/85019e5de357eg9gj4/common/content/1747240621914_391492.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x
5月15日 “独‘补’天下－中国行”南京站,2025/05/14:15:00:30,2025/05/15:09:00:00,2025/05/16:15:00:24,106,30,932,0,https://p2bj.vzan.com/11749549/218509587024753336/live.m3u8?zbid=11749549&tpid=1680204453,https://duanshu-1253562005.image.myqcloud.com/2025/05/06/21/85019e5de357eg9gj4/common/content/1746536440637_492262.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/06/21/85019e5de357eg9gj4/common/content/1746536440637_492262.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206120_235949?imageMogr2/auto-orient
5月14日 “独‘补’天下－中国行”南京站,2025/05/14:14:56:40,2025/05/14:09:00:00,2025/05/14:16:21:14,161,44,1132,0,https://qvod2.vzan.com/clip/11749549/1334159659/254035f3b5204327bed436b12db886b4.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/06/21/85019e5de357eg9gj4/common/content/1746536440637_492262.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/06/21/85019e5de357eg9gj4/common/content/1746536440637_492262.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206008_850734?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206008_953502?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206008_462706?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206009_353885?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206009_754880?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206010_527747?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206010_110267?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206010_979615?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206011_617548?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206011_158027?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206011_196604?imageMogr2/auto-orient;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/15/85019e5de357eg9gj4/common/content/1747206012_461724?imageMogr2/auto-orient
5月16日 中国医学科学院肿瘤医院山西医院手术直播间 精彩冀晋 名院对话｜微创外科手术联播,2025/05/14:13:15:20,2025/05/16:08:30:00,2025/05/17:13:15:13,412,150,7,0,https://p2hs.vzan.com/11749549/094008549780049705/live.m3u8?zbid=11749549&tpid=23264205,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/13/85019e5de357eg9gj4/common/content/1747199326129_829929.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/13/85019e5de357eg9gj4/common/content/1747199326129_829929.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/13/85019e5de357eg9gj4/common/content/1747199402091_327628.png?imageMogr2/auto-orient/thumbnail/!750x
5月15日 河北医科大学第四医院手术直播间 精彩冀晋 名院对话｜微创外科手术联播,2025/05/14:13:08:24,2025/05/15:08:25:00,2025/05/16:13:08:18,7193,577,175,0,https://p2hs.vzan.com/11749549/764304610080435985/live.m3u8?zbid=11749549&tpid=193942404,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/13/85019e5de357eg9gj4/common/content/1747199326129_829929.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/13/85019e5de357eg9gj4/common/content/1747199326129_829929.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231619930_222513.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231620452_969291.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231620654_381465.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231620849_254486.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231621053_272574.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231621252_714637.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231689087_875476.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231689622_615825.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231689882_447694.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231690105_126547.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231690324_724126.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231690573_641282.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231802513_558712.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231802736_523469.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231802945_482224.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231803150_132517.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231803348_847333.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231742795_666223.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231743032_219222.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231743236_259715.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231743481_325417.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231743700_123942.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231743937_394124.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231744197_342465.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231744411_812412.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/22/85019e5de357eg9gj4/common/content/1747231881947_922914.png?imageMogr2/auto-orient/thumbnail/!750x
王廷教授 达芬奇机器人辅助下甲状腺癌根治术,2025/05/13:15:38:19,2025/05/15:08:00:00,2025/05/16:15:38:23,7567,311,201,5,https://p2bj.vzan.com/11749549/882351283644821765/live.m3u8?zbid=11749549&tpid=1600682177,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/17/85019e5de357eg9gj4/common/content/1747128885485_221183.png?imageMogr2/auto-orient/cut/1920x1080x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/15/08/85019e5de357eg9gj4/common/content/1747267656246_991214.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/08/85019e5de357eg9gj4/common/content/1747267656670_415384.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/15/08/85019e5de357eg9gj4/common/content/1747267656888_534965.JPG?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/14/21/85019e5de357eg9gj4/common/content/1747228110359_788254.png?imageMogr2/auto-orient/thumbnail/!750x
减重思变 捷然不同｜西安医学院附属宝鸡医院减重代谢外科学术沙龙（第十九期）,2025/05/13:13:30:16,2025/05/14:08:17:57,2025/05/14:20:19:50,15626,905,2219,9,https://qvod2.vzan.com/clip/11749549/2055053893/8aa5e0aec2e24a47a4907200ced02fb2.m3u8,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/20/85019e5de357eg9gj4/common/content/1747140820203_781771.jpg?imageMogr2/auto-orient/cut/1280x720x0x0;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/20/85019e5de357eg9gj4/common/content/1747140820203_781771.jpg?imageMogr2/auto-orient/cut/1280x720x0x0;,https://duanshu-1253562005.image.myqcloud.com/2025/05/13/21/85019e5de357eg9gj4/common/content/1747141244408_987372.jpg?imageMogr2/auto-orient/thumbnail/!750x;https://duanshu-1253562005.image.myqcloud.com/2025/05/13/20/85019e5de357eg9gj4/common/content/1747140834813_348524.jpg?imageMogr2/auto-orient/thumbnail/!750x
郭胜利教授 手术直播间,2025/05/11:17:25:14,2025/05/21:09:00:00,2025/05/22:17:25:11,116,43,1,0,https://p2hs.vzan.com/11749549/320162646815499195/live.m3u8?zbid=11749549&tpid=1324973461,https://duanshu-1253562005.image.myqcloud.com/2025/05/11/17/85019e5de357eg9gj4/common/content/1746954941304_262117.png?imageMogr2/auto-orient/cut/3776x2124x2x5;https://duanshu-1253562005.image.myqcloud.com/2025/05/11/17/85019e5de357eg9gj4/common/content/1746954941304_262117.png?imageMogr2/auto-orient/cut/3776x2124x2x5;,
