直播间url,直播间ID,标题,创建时间,价格,观看次数,直播类型,直播状态,开始时间,结束时间,状态,销售总额,独立访客数
https://my.duanshu.com/details/live/fa8c221a594a4b3f81b1b8781de5942e,fa8c221a594a4b3f81b1b8781de5942e,峰云镜会｜3D腹腔镜IIIb型肝门胆管癌根治术,2025-05-22 08:56:30,0.00,28787,3,2,2025-05-22 09:00:00,2025-05-22 15:40:37,2,0,2728
https://my.duanshu.com/details/live/83496e449263417abd4bd16886e66bc6,83496e449263417abd4bd16886e66bc6,胸有甲兵 术立巅峰｜南方医科大学南方医院胸外科手术直播,2025-05-21 16:36:24,0.00,17729,3,2,2025-05-22 08:50:00,2025-05-22 15:34:42,2,0,483
https://my.duanshu.com/details/live/5e4c99725f3944e380f89d2289d46bb4,5e4c99725f3944e380f89d2289d46bb4,5月22日 “独‘补’天下－中国行”南昌站,2025-05-20 18:44:34,0.00,708,3,2,2025-05-22 09:00:00,2025-05-22 14:46:44,2,0,119
https://my.duanshu.com/details/live/0e061134efe447c8af31f7dc352ec5fb,0e061134efe447c8af31f7dc352ec5fb,结直肠癌日间诊疗学习班（第5期）暨国家癌症中心结直肠NOSES学习班沈阳站（第60期）,2025-05-19 13:04:54,0.00,21286,3,2,2025-05-22 08:20:00,2025-05-22 18:23:44,2,0,1976
https://my.duanshu.com/details/live/e471d1afe4774ab499baa454b7374b73,e471d1afe4774ab499baa454b7374b73,周进学教授 河南省肿瘤医院,2025-05-19 09:18:21,0.00,793,3,2,2025-05-19 09:00:00,2025-05-19 19:49:01,2,0,139
https://my.duanshu.com/details/live/194d588e4ec948edb87d37e35334a3d0,194d588e4ec948edb87d37e35334a3d0,镜影非凡｜微创外科手术直播,2025-05-16 07:21:38,0.00,2713,3,2,2025-05-22 08:50:00,2025-05-22 09:40:07,2,0,445
https://my.duanshu.com/details/live/ebadfdab99194676aa89b5d8869731f1,ebadfdab99194676aa89b5d8869731f1,王廷教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,2025-05-14 21:02:02,0.00,8735,3,2,2025-05-15 12:10:00,2025-05-15 13:33:34,2,0,483
https://my.duanshu.com/details/live/a736e87483d143ac95f4da57c16fc7e8,a736e87483d143ac95f4da57c16fc7e8,张聚良教授 乳腺癌根治术+乳房胸肌前假体重建,2025-05-14 18:29:06,0.00,9616,3,2,2025-05-15 12:30:00,2025-05-15 15:18:21,2,0,490
https://my.duanshu.com/details/live/97feaf20f93a4d96aa968ed15b4b48f9,97feaf20f93a4d96aa968ed15b4b48f9,樊菁教授 腔镜辅助下，保留皮肤乳头乳晕，腺体切除，胸肌前假体重建,2025-05-14 18:27:55,0.00,12279,3,2,2025-05-15 08:00:00,2025-05-15 12:00:29,2,0,612
https://my.duanshu.com/details/live/62e86b8f4b5f4d3298c3c9ce7a1b7624,62e86b8f4b5f4d3298c3c9ce7a1b7624,5月15日 “独‘补’天下－中国行”南京站,2025-05-14 15:00:30,0.00,1044,3,2,2025-05-15 09:00:00,2025-05-15 15:46:11,2,0,240
https://my.duanshu.com/details/live/12b7dbe0d35e4b3d9acc04f6065c603e,12b7dbe0d35e4b3d9acc04f6065c603e,5月14日 “独‘补’天下－中国行”南京站,2025-05-14 14:56:40,0.00,444,3,2,2025-05-14 09:00:00,2025-05-14 16:21:14,2,0,119
